eta,V,r_star,sd_residual,asd_residual,curvature_norm,is_sd,is_asd,is_nontrivial,is_nontrivial_sd,phase_type
-5.0,1.0510204081632653,2.923470410061252,13.93553451364269,13.93553451364269,9.853910954055923,False,False,True,False,II
-5.0,1.1428571428571428,2.7857153485811477,15.491674650942047,15.491674650942047,10.954268197616862,False,False,True,False,II
-5.0,1.2346938775510203,2.6479602871010433,17.271297305745215,17.271297305745215,12.21265144478139,False,False,True,False,II
-5.0,1.3265306122448979,2.510205225620939,19.3193356699905,19.3193356699905,13.660833260269436,False,False,True,False,II
-5.0,1.4183673469387754,2.372450164140834,21.694054817283767,21.694054817283767,15.340013272734039,False,False,True,False,II
-5.0,1.5102040816326532,2.234695102660729,24.472047244797327,24.472047244797327,17.304350556313757,False,False,True,False,II
-5.0,1.6020408163265307,2.096940041180625,27.755599416478432,27.755599416478432,19.62617256328928,False,False,True,False,II
-5.0,1.6938775510204083,1.9591849797005203,31.68380704364471,31.68380704364471,22.403834814367272,False,False,True,False,II
-5.0,1.7857142857142858,1.8214299182204159,36.449788387351305,36.449788387351305,25.77389254151078,False,False,True,False,II
-5.0,1.8775510204081634,1.6836748567403113,42.32814182895102,42.32814182895102,29.93051612227722,False,False,True,False,II
-5.0,1.969387755102041,1.5459197952602066,49.72025829436218,49.72025829436218,35.15753180229018,False,False,True,False,II
-5.0,2.0612244897959187,1.4693891284443228,54.962557078261575,54.962557078261575,38.86439682139144,False,False,True,False,II
-5.0,2.1530612244897958,1.4234706589605493,58.74108412672032,58.74108412672032,41.536218920253404,False,False,True,False,II
-5.0,2.2448979591836737,1.3775521894767753,62.867062318499094,62.867062318499094,44.453726078687986,False,False,True,False,II
-5.0,2.336734693877551,1.3316337199930015,67.38566998494922,67.38566998494922,47.64886420115639,False,False,True,False,II
-5.0,2.428571428571429,1.2857152505092275,72.35023608178916,72.35023608178916,51.15934255388075,False,False,True,False,II
-5.0,2.5204081632653064,1.2397967810254538,77.82406828980118,77.82406828980118,55.02992642724337,False,False,True,False,II
-5.0,2.612244897959184,1.1938783115416798,83.88278273847278,83.88278273847278,59.31408449917198,False,False,True,False,II
-5.0,2.7040816326530615,1.147959842057906,90.61729900515934,90.61729900515934,64.07610661935716,False,False,True,False,II
-5.0,2.795918367346939,1.1020413725741323,98.13772667014672,98.13772667014672,69.39385201869266,False,False,True,False,II
-5.0,2.8877551020408165,1.0561229030903583,106.57846014119016,106.57846014119016,75.36235189425572,False,False,True,False,II
-5.0,2.979591836734694,1.0102044336065845,116.10493090262554,116.10493090262554,82.09858397044206,False,False,True,False,II
-5.0,3.0714285714285716,0.9821431339553447,122.90095719625847,122.90095719625847,86.90410024779199,False,False,True,False,II
-5.0,3.163265306122449,0.9591838828276859,129.04200246690695,129.04200246690695,91.2464750022411,False,False,True,False,II
-5.0,3.2551020408163267,0.936224631700027,135.59847401671328,135.59847401671328,95.88260049576583,False,False,True,False,II
-5.0,3.3469387755102042,0.9132653805723683,142.6100241012799,142.6100241012799,100.84051510719199,False,False,True,False,II
-5.0,3.438775510204082,0.8903061294447094,150.12144678428075,150.12144678428075,106.15189302270035,False,False,True,False,II
-5.0,3.5306122448979593,0.8673468783170506,158.18349961148797,158.18349961148797,111.85262524710275,False,False,True,False,II
-5.0,3.622448979591837,0.8443876271893919,166.85388382917952,166.85388382917952,117.98351272292525,False,False,True,False,II
-5.0,3.7142857142857144,0.8214283760617329,176.19841909022253,176.19841909022253,124.59109697304558,False,False,True,False,II
-5.0,3.806122448979592,0.7984691249340742,186.29245802687643,186.29245802687643,131.7286603547146,False,False,True,False,II
-5.0,3.8979591836734695,0.7755098738064155,197.22259833960413,197.22259833960413,139.4574366891648,False,False,True,False,II
-5.0,3.989795918367347,0.7525506226787567,209.08876612118056,209.08876612118056,147.84808439421482,False,False,True,False,II
-5.0,4.081632653061225,0.7377547498153085,217.71571204351045,217.71571204351045,153.94825635682392,False,False,True,False,II
-5.0,4.173469387755102,0.7239792992348868,226.27098018184344,226.27098018184344,159.9977444723084,False,False,True,False,II
-5.0,4.26530612244898,0.7102038486544651,235.28396257306028,235.28396257306028,166.37088543985277,False,False,True,False,II
-5.0,4.357142857142858,0.6964283980740433,244.78912913966101,244.78912913966101,173.0920531754038,False,False,True,False,II
-5.0,4.448979591836735,0.6826529474936216,254.82443853793035,254.82443853793035,180.18808850222516,False,False,True,False,II
-5.0,4.540816326530613,0.6688774969131999,265.4317710536009,265.4317710536009,187.68860525435636,False,False,True,False,II
-5.0,4.63265306122449,0.6551020463327781,276.65742590444484,276.65742590444484,195.62634192264775,False,False,True,False,II
-5.0,4.724489795918368,0.6413265957523564,288.5526941368804,288.5526941368804,204.03756675383585,False,False,True,False,II
-5.0,4.816326530612245,0.6275511451719347,301.1745205384726,301.1745205384726,212.9625457933611,False,False,True,False,II
-5.0,4.908163265306123,0.6137756945915128,314.5862707302253,314.5862707302253,222.4460853015294,False,False,True,False,II
-5.0,5.0,0.6000002440110912,328.8586229813455,328.8586229813455,232.53816236177957,False,False,True,False,II
-4.836734693877551,1.0510204081632653,2.999241977384929,12.460509247534432,12.460509247534432,8.810910585969282,False,False,True,False,II
-4.836734693877551,1.1428571428571428,2.861486915904824,13.836581310681634,13.836581310681634,9.783940473222032,False,False,True,False,II
