alpha,r_star,epsilon_star,V_min,topology,converged
-0.15,1.99999995493821,-7.482486256773217e-10,-421.10312111314516,S3,True
-0.14,1.9999999397856953,3.114411235396701e-08,-421.10312111314227,S3,True
-0.13,1.9999999862579416,-3.4802861963218415e-08,-421.10312111314306,S3,True
-0.12,2.000000013429544,-1.6436782543840263e-09,-421.1031211131461,S3,True
-0.11,1.999999952374428,-2.3356277492710343e-08,-421.1031211131441,S3,True
-0.1,1.9999999340055907,-7.677049533823366e-09,-421.1031211131443,S3,True
-0.09,2.000000008087931,-4.578175626573222e-09,-421.10312111314585,S3,True
-0.08,1.9999999727302793,-3.4382887750485073e-09,-421.1031211131457,S3,True
-0.07,1.9999999402901512,-9.786600187572081e-09,-421.1031211131446,S3,True
-0.06,2.000000008203205,-1.03311191331835e-08,-421.1031211131458,S3,True
-0.05,1.9999997732805301,-7.834232006493194e-08,-421.1031211131229,S3,True
-0.04,2.000000009370483,5.0882482999196745e-09,-421.10312111314573,S3,True
-0.03,1.9999999320693067,4.793143928158796e-08,-421.10312111314244,S3,True
-0.02,1.9999999733863865,-7.172073724943246e-09,-421.10312111314585,S3,True
-0.01,2.0000000136384055,-1.3396040985849388e-08,-421.10312111314585,S3,True
0.0,2.0000000098178883,-2.0930117167166433e-08,-421.1031211131456,S3,True
0.01,0.01,-0.95,-58231888932.89995,S3,False
0.02,0.01,-0.95,-116463780171.89735,S3,False
0.03,0.01,-0.95,-174695671410.89478,S3,False
0.04,0.01,-0.95,-232927562649.89212,S3,False
0.05,0.01,-0.95,-291159453888.8896,S3,False
0.06,0.01,-0.95,-349391345127.8869,S3,False
0.07,0.01,-0.95,-407623236366.8843,S3,False
0.08,0.01,-0.95,-465855127605.8817,S3,False
0.09,0.01,-0.95,-524087018844.8791,S3,False
0.1,0.01,-0.95,-582318910083.8766,S3,False
0.11,0.01,-0.95,-640550801322.8739,S3,False
0.12,0.01,-0.95,-698782692561.8713,S3,False
0.13,0.01,-0.95,-757014583800.8687,S3,False
0.14,0.01,-0.95,-815246475039.866,S3,False
0.15,0.01,-0.95,-873478366278.8635,S3,False
0.16,0.01,-0.95,-931710257517.8606,S3,False
0.17,0.01,-0.95,-989942148756.8582,S3,False
0.18,0.01,-0.95,-1048174039995.8555,S3,False
0.19,0.01,-0.95,-1106405931234.8528,S3,False
0.2,0.01,-0.95,-1164637822473.8503,S3,False
0.21,0.01,-0.95,-1222869713712.848,S3,False
0.22,0.01,-0.95,-1281101604951.8452,S3,False
0.23,0.01,-0.95,-1339333496190.8425,S3,False
0.24,0.01,-0.95,-1397565387429.84,S3,False
0.25,0.01,-0.95,-1455797278668.8374,S3,False
0.26,0.01,-0.95,-1514029169907.8347,S3,False
0.27,0.01,-0.95,-1572261061146.8323,S3,False
0.28,0.01,-0.95,-1630492952385.8296,S3,False
0.29,0.01,-0.95,-1688724843624.8271,S3,False
0.3,0.01,-0.95,-1746956734863.825,S3,False
0.31,0.01,-0.95,-1805188626102.8223,S3,False
0.32,0.01,-0.95,-1863420517341.8196,S3,False
0.33,0.01,-0.95,-1921652408580.817,S3,False
0.34,0.01,-0.95,-1979884299819.8142,S3,False
0.35,0.01,-0.95,-2038116191058.8115,S3,False
0.36,0.01,-0.95,-2096348082297.8088,S3,False
0.37,0.01,-0.95,-2154579973536.8064,S3,False
0.38,0.01,-0.95,-2212811864775.8037,S3,False
0.39,0.01,-0.95,-2271043756014.8013,S3,False
0.4,0.01,-0.95,-2329275647253.799,S3,False
0.41,0.01,-0.95,-2387507538492.796,S3,False
0.42,0.01,-0.95,-2445739429731.794,S3,False
0.43,0.01,-0.95,-2503971320970.791,S3,False
0.44,0.01,-0.95,-2562203212209.788,S3,False
0.45,0.01,-0.95,-2620435103448.786,S3,False
0.46,0.01,-0.95,-2678666994687.7827,S3,False
0.47,0.01,-0.95,-2736898885926.7803,S3,False
0.48,0.01,-0.95,-2795130777165.778,S3,False
0.49,0.01,-0.95,-2853362668404.7754,S3,False
0.5,0.01,-0.95,-2911594559643.772,S3,False
0.51,0.01,-0.95,-2969826450882.77,S3,False
0.52,0.01,-0.95,-3028058342121.767,S3,False
0.53,0.01,-0.95,-3086290233360.7646,S3,False
0.54,0.01,-0.95,-3144522124599.762,S3,False
0.55,0.01,-0.95,-3202754015838.76,S3,False
0.56,0.01,-0.95,-3260985907077.7573,S3,False
0.57,0.01,-0.95,-3319217798316.753,S3,False
0.58,0.01,-0.95,-3377449689555.75,S3,False
0.59,0.01,-0.95,-3435681580794.7476,S3,False
0.6,0.01,-0.95,-3493913472033.7446,S3,False
0.61,0.01,-0.95,-3552145363272.743,S3,False
0.62,0.01,-0.95,-3610377254511.74,S3,False
0.63,0.01,-0.95,-3668609145750.738,S3,False
0.64,0.01,-0.95,-3726841036989.735,S3,False
0.65,0.01,-0.95,-3785072928228.7314,S3,False
0.66,0.01,-0.95,-3843304819467.7285,S3,False
0.67,0.01,-0.95,-3901536710706.727,S3,False
0.68,0.01,-0.95,-3959768601945.724,S3,False
0.69,0.01,-0.95,-4018000493184.722,S3,False
0.7,0.01,-0.95,-4076232384423.7188,S3,False
0.71,0.01,-0.95,-4134464275662.717,S3,False
0.72,0.01,-0.95,-4192696166901.713,S3,False
0.73,0.01,-0.95,-4250928058140.7114,S3,False
0.74,0.01,-0.95,-4309159949379.7085,S3,False
0.75,0.01,-0.95,-4367391840618.706,S3,False
0.76,0.01,-0.95,-4425623731857.703,S3,False
0.77,0.01,-0.95,-4483855623096.701,S3,False
0.78,0.01,-0.95,-4542087514335.698,S3,False
0.79,0.01,-0.95,-4600319405574.695,S3,False
0.8,0.01,-0.95,-4658551296813.693,S3,False
0.81,0.01,-0.95,-4716783188052.69,S3,False
0.82,0.01,-0.95,-4775015079291.6875,S3,False
0.83,0.01,-0.95,-4833246970530.685,S3,False
0.84,0.01,-0.95,-4891478861769.683,S3,False
0.85,0.01,-0.95,-4949710753008.681,S3,False
0.86,0.01,-0.95,-5007942644247.678,S3,False
0.87,0.01,-0.95,-5066174535486.674,S3,False
0.88,0.01,-0.95,-5124406426725.672,S3,False
0.89,0.01,-0.95,-5182638317964.669,S3,False
0.9,0.01,-0.95,-5240870209203.668,S3,False
0.91,0.01,-0.95,-5299102100442.664,S3,False
0.92,0.01,-0.95,-5357333991681.662,S3,False
0.93,0.01,-0.95,-5415565882920.659,S3,False
0.94,0.01,-0.95,-5473797774159.656,S3,False
0.95,0.01,-0.95,-5532029665398.654,S3,False
0.96,0.01,-0.95,-5590261556637.651,S3,False
0.97,0.01,-0.95,-5648493447876.649,S3,False
0.98,0.01,-0.95,-5706725339115.646,S3,False
0.99,0.01,-0.95,-5764957230354.644,S3,False
1.0,0.01,-0.95,-5823189121593.64,S3,False
