topology,ny_variant,V,eta,theta,r0,delta_V,stability_type
S3,FULL,1.0,-1.0,3.0,59.748948149257025,692886.2450995882,type-I
S3,FULL,1.0,-1.0,4.0,79.8120593242968,1660756.117608896,type-I
S3,FULL,1.0,-1.0,5.0,99.8497743697907,3260284.411551668,type-I
S3,FULL,1.0,0.0,0.0,,,type-III
S3,FULL,1.0,0.0,1.0,13.291503144957513,3899.215370953749,type-I
S3,FULL,1.0,0.0,2.0,30.832396999922594,85879.4343673462,type-I
S3,FULL,1.0,0.0,3.0,47.237901593762615,330000.1248930448,type-I
S3,FULL,1.0,0.0,4.0,63.432467264756376,817148.1441723467,type-I
S3,FULL,1.0,0.0,5.0,79.5474405536173,1627731.0825536016,type-I
S3,FULL,1.0,1.0,0.0,,,type-III
S3,FULL,1.0,1.0,1.0,,,type-III
S3,FULL,1.0,1.0,2.0,20.999998557361817,19184.90783548279,type-I
S3,FULL,1.0,1.0,3.0,34.15549444494723,110890.6230945171,type-I
S3,FULL,1.0,1.0,4.0,46.64950202380658,305773.0321280861,type-I
S3,FULL,1.0,1.0,5.0,58.93095063432167,636784.4307881797,type-I
S3,FULL,1.0,2.0,0.0,,,type-III
S3,FULL,1.0,2.0,1.0,,,type-III
S3,FULL,1.0,2.0,2.0,,,type-III
S3,FULL,1.0,2.0,3.0,18.928203768430215,8749.117778430998,type-I
S3,FULL,1.0,2.0,4.0,28.64911189607193,53229.72589940172,type-I
S3,FULL,1.0,2.0,5.0,37.43559602907362,139501.24747955243,type-I
S3,FULL,1.0,3.0,0.0,,,type-III
S3,FULL,1.0,3.0,1.0,,,type-III
S3,FULL,1.0,3.0,2.0,,,type-III
S3,FULL,1.0,3.0,3.0,,,type-III
S3,FULL,1.0,3.0,4.0,,,type-III
S3,FULL,1.0,3.0,5.0,,,type-III
S3,FULL,1.0,4.0,0.0,,,type-III
S3,FULL,1.0,4.0,1.0,,,type-III
S3,FULL,1.0,4.0,2.0,,,type-III
S3,FULL,1.0,4.0,3.0,,,type-III
S3,FULL,1.0,4.0,4.0,,,type-III
S3,FULL,1.0,4.0,5.0,,,type-III
S3,FULL,1.0,5.0,0.0,,,type-III
S3,FULL,1.0,5.0,1.0,,,type-III
S3,FULL,1.0,5.0,2.0,,,type-III
S3,FULL,1.0,5.0,3.0,,,type-III
S3,FULL,1.0,5.0,4.0,,,type-III
S3,FULL,1.0,5.0,5.0,,,type-III
S3,FULL,2.0,-5.0,0.0,1.5000014414335054,175.87637674611136,type-II
S3,FULL,2.0,-5.0,1.0,18.124143994260777,79953.00051410224,type-II
S3,FULL,2.0,-5.0,2.0,36.06239323992914,620367.4808537206,type-II
S3,FULL,2.0,-5.0,3.0,54.04163491884884,2081738.1482094352,type-II
S3,FULL,2.0,-5.0,4.0,72.03123606718836,4924538.526244036,type-II
S3,FULL,2.0,-5.0,5.0,90.02499311496841,9609244.325430313,type-II
S3,FULL,2.0,-4.0,0.0,1.7320512738996077,271.14582163532856,type-II
S3,FULL,2.0,-4.0,1.0,16.185352881386102,57710.73184909391,type-II
S3,FULL,2.0,-4.0,2.0,32.09347700704228,438798.03890377894,type-II
S3,FULL,2.0,-4.0,3.0,48.06241944266379,1466707.0084522392,type-II
S3,FULL,2.0,-4.0,4.0,64.04684028883126,3464839.4081230345,type-II
S3,FULL,2.0,-4.0,5.0,80.03748342553273,6756601.333689388,type-II
S3,FULL,2.0,-3.0,0.0,1.5000014414335054,175.87637674611136,type-II
S3,FULL,2.0,-3.0,1.0,14.158910560455563,38609.06943662219,type-II
S3,FULL,2.0,-3.0,2.0,28.080128884144237,293856.2589004953,type-II
S3,FULL,2.0,-3.0,3.0,42.05350340734283,982423.2342932004,type-II
S3,FULL,2.0,-3.0,4.0,56.04015074801908,2320964.0595378396,type-II
S3,FULL,2.0,-3.0,5.0,70.03212858937098,4526135.5823876485,type-II
S3,FULL,2.0,-2.0,0.0,,,type-III
S3,FULL,2.0,-2.0,1.0,11.999999151467348,22739.52119232736,type-II
S3,FULL,2.0,-2.0,2.0,23.999999873477915,181916.45359899572,type-II
